Doc..Date,Ship.to.nu,Subrand,Segment.LE
2020-08-31,206,PEPSI,G
2020-11-04,200,PEPSI,P
2021-05-10,208,SPRITE,P
2020-02-02,209,PEPSI,G
2021-01-24,207,MILK,XG
2021-05-06,206,PEPSI,P
2021-04-30,209,JUICE,XG
2021-04-03,200,MILK,P
2021-11-16,205,COCA,P
2020-06-08,206,COCA,M
2020-07-03,200,COCA,P
2020-01-21,202,WATER,M
2021-06-24,203,JUICE,G
2020-07-14,206,WATER,M
2020-12-12,203,WATER,XG
2021-03-18,208,JUICE,XG
2021-04-13,206,COCA,M
2020-02-19,201,MILK,XG
2021-03-04,202,SPRITE,XG
2021-09-23,202,MILK,G
2020-01-08,200,SPRITE,P
2020-02-08,204,PEPSI,G
2020-04-30,210,JUICE,G
2020-07-22,202,SPRITE,P
2020-08-26,205,COCA,M
2021-11-12,208,COCA,P
2020-03-15,204,COCA,G
2021-05-31,202,WATER,P
2020-09-27,208,JUICE,G
2020-10-26,201,PEPSI,P
2020-03-20,202,COCA,M
2021-02-28,209,JUICE,M
2020-01-18,209,PEPSI,G
2020-04-23,202,PEPSI,XG
2020-03-12,208,COCA,M
2020-06-01,210,WATER,XG
2021-05-27,202,MILK,XG
2020-09-29,203,JUICE,XG
2020-12-21,208,MILK,M
2021-08-29,203,PEPSI,M
2020-04-15,210,JUICE,XG
2021-03-24,200,PEPSI,P
2021-09-14,207,MILK,XG
2021-10-05,204,COCA,P
2020-01-14,209,MILK,XG
2021-12-07,200,JUICE,G
2021-05-23,209,WATER,P
2020-09-21,201,WATER,G
2021-05-11,205,PEPSI,M
2020-11-11,200,COCA,XG
2021-08-14,201,WATER,G
2021-12-22,202,MILK,P
2020-10-25,204,SPRITE,P
2021-03-10,207,MILK,G
2020-01-19,207,MILK,P
2020-12-14,210,JUICE,P
2020-05-05,209,MILK,M
2020-01-01,201,WATER,P
2021-09-12,200,WATER,P
2021-11-14,207,WATER,G
2020-06-21,201,COCA,G
2020-04-26,202,WATER,G
2020-10-31,204,PEPSI,M
2020-12-15,203,PEPSI,XG
2021-11-30,210,WATER,M
2020-04-22,208,COCA,G
2021-12-20,209,PEPSI,M
2021-02-01,200,PEPSI,G
2021-05-15,205,WATER,XG
2021-08-27,204,JUICE,XG
2020-11-06,205,MILK,P
2021-05-15,201,PEPSI,G
2021-10-28,202,SPRITE,P
2021-08-17,200,WATER,XG
2021-04-27,209,MILK,M
2021-03-27,207,MILK,G
2021-12-31,210,PEPSI,XG
2021-02-27,202,COCA,G
2021-08-25,203,COCA,P
2021-09-20,200,WATER,XG
2021-12-02,210,JUICE,G
2021-03-13,205,WATER,G
2021-03-17,204,PEPSI,P
2020-10-17,203,SPRITE,M
2021-05-12,209,SPRITE,P
2021-10-30,203,MILK,M
2020-09-25,203,JUICE,XG
2021-12-05,203,JUICE,P
2021-01-28,203,PEPSI,XG
2021-11-28,204,JUICE,M
2020-02-24,210,SPRITE,P
2020-05-03,210,PEPSI,G
2021-09-10,209,COCA,G
2021-08-10,205,JUICE,XG
2021-01-10,202,WATER,XG
2021-03-17,209,COCA,XG
2020-11-27,203,WATER,P
2020-08-29,201,PEPSI,XG
2021-08-12,206,JUICE,G
2021-11-30,206,WATER,XG
2021-01-18,207,JUICE,P
2021-12-21,205,JUICE,P
2020-07-12,207,PEPSI,M
2020-12-05,204,WATER,G
2021-03-23,206,SPRITE,XG
2021-12-22,204,MILK,M
2020-08-03,208,COCA,P
2020-12-22,204,PEPSI,G
2021-05-05,207,JUICE,P
2021-09-20,207,SPRITE,G
2020-12-30,207,MILK,XG
2021-03-21,210,COCA,P
2020-08-03,203,JUICE,G
2020-03-20,208,SPRITE,P
2021-02-24,201,JUICE,M
2020-11-24,206,WATER,XG
2020-03-03,209,MILK,M
2021-07-04,202,SPRITE,XG
2021-03-28,205,COCA,G
2020-02-11,210,SPRITE,G
2021-10-23,210,SPRITE,G
2020-12-25,206,WATER,P
2020-05-22,209,MILK,P
2021-01-24,203,WATER,XG
2021-04-23,203,WATER,P
2020-08-29,206,PEPSI,M
2021-05-05,209,PEPSI,P
2021-10-13,203,SPRITE,P
2021-06-02,208,COCA,XG
2020-03-22,206,SPRITE,G
2021-02-20,210,SPRITE,XG
2021-11-09,210,COCA,G
2021-06-08,210,SPRITE,XG
2021-06-11,207,MILK,G
2020-01-24,206,PEPSI,G
